Company,Category,Tier,Funding Potential,Strategic Fit,Decision Maker 1,Title 1,LinkedIn 1,Decision Maker 2,Title 2,LinkedIn 2,Decision Maker 3,Title 3,LinkedIn 3,Value Proposition,Priority Score,Notes
Microsoft,Cloud/Enterprise,Gold,$150000,75,Satya Nadella,CEO,/in/satya-nadella,Charlie Bell,CVP Security,/in/charlie-bell-microsoft,Vasu Jakkal,CVP Security,/in/vasu-jakkal,"Azure security integration, enterprise macOS protection",78,"Large enterprise presence, growing macOS support"
Qualys,Cybersecurity Vendor,Silver,$50000,82,Sumedh Thakar,CEO,/in/sumedh-thakar,Philippe Courtot,Chairman,/in/philippe-courtot,Shailesh Athalye,VP Eng,/in/shailesh-athalye,"Cloud security compliance, vulnerability management",75,"Strong compliance focus, established customer base"
Cohere,AI/ML Platform,Silver,$75000,78,Aidan Gomez,CEO,/in/aidan-gomez,Nick Frosst,Co-Founder,/in/nick-frosst,Ivan Zhang,Co-Founder,/in/ivan-zhang,"Enterprise AI deployment, model optimization",73,"Enterprise AI focus, growing rapidly"
Palo Alto Networks,Cybersecurity Vendor,Gold,$125000,80,Nikesh Arora,CEO,/in/nikesh-arora,Lee Klarich,CPO,/in/lee-klarich,Nir Zuk,Founder/CTO,/in/nir-zuk,"Next-gen firewall integration, AI threat detection",70,"Large security vendor, AI investments"
Yubico,Hardware Security,Bronze,$25000,90,Stina Ehrensvärd,CEO,/in/stina-ehrensvard,Derek Hanson,VP Eng,/in/derek-hanson-yubico,Guido Appenzeller,CPO,/in/guido-appenzeller,"Hardware authentication integration, enterprise security",68,"Perfect hardware security fit, smaller budget"
Hugging Face,AI/ML Platform,Bronze,$50000,75,Clement Delangue,CEO,/in/clement-delangue,Thomas Wolf,CSO,/in/thomas-wolf-huggingface,Julien Chaumond,CTO,/in/julien-chaumond,"Open-source AI model integration, community showcase",65,"Open-source focused, strong developer community"
Google Cloud,Cloud Provider,Gold,$100000,72,Thomas Kurian,CEO,/in/thomas-kurian-gcp,Sunil Potti,VP Security,/in/sunil-potti,Phil Venables,CISO,/in/phil-venables,"AI/ML platform integration, enterprise security",63,"Strong AI/ML capabilities, growing security focus"
Intigriti,Bug Bounty Platform,Bronze,$30000,85,Inti De Ceukelaire,Founder,/in/inti-de-ceukelaire,Frank Goossens,CEO,/in/frank-goossens-intigriti,Pieter-Jan Moreels,CTO,/in/pieter-jan-moreels,"European market expansion, researcher community",62,"European focus, growing platform"
HashiCorp,Infrastructure,Silver,$50000,70,David McJannet,CEO,/in/david-mcjannet,Armon Dadgar,Co-Founder,/in/armon-dadgar,Mitchell Hashimoto,Co-Founder,/in/mitchell-hashimoto,"Infrastructure security automation, compliance",60,"Infrastructure focus, security tooling"
Intel,Hardware/Semiconductor,Gold,$100000,65,Pat Gelsinger,CEO,/in/pat-gelsinger,Greg Lavender,CTO,/in/greg-lavender-intel,Rick Echevarria,VP Security,/in/rick-echevarria,"Hardware security features, processor capabilities",58,"Hardware security focus, enterprise presence"
AMD,Hardware/Semiconductor,Silver,$50000,68,Lisa Su,CEO,/in/lisa-su-amd,Mark Papermaster,CTO,/in/mark-papermaster,David McAfee,CVP Security,/in/david-mcafee-amd,"Hardware security showcase, processor optimization",55,"Growing enterprise presence, security features"
Oracle,Cloud/Enterprise,Silver,$75000,60,Safra Catz,CEO,/in/safra-catz,Juan Loaiza,EVP Dev,/in/juan-loaiza-oracle,Clay Magouyrk,EVP Cloud,/in/clay-magouyrk,"Enterprise security solutions, database protection",53,"Large enterprise customer base"
Synack,Security Platform,Bronze,$25000,80,Jay Kaplan,CEO,/in/jay-kaplan-synack,Mark Carney,CTO,/in/mark-carney-synack,John Heasman,Director Research,/in/john-heasman,"Managed security testing, researcher platform",50,"Crowdsourced security testing focus"
YesWeHack,Bug Bounty Platform,Bronze,$20000,75,Guillaume Vassault-Houliere,CEO,/in/guillaume-vassault-houliere,Romain Vérité,CTO,/in/romain-verite,Kevin Leroy,CPO,/in/kevin-leroy-yeswehack,"Global platform integration, researcher tools",48,"French platform, international expansion"
Nitrokey,Hardware Security,Bronze,$15000,85,Jan Suhr,Founder,/in/jan-suhr,Szczepan Zalega,CTO,/in/szczepan-zalega,Michael Schierl,Developer,/in/michael-schierl,"Open-source hardware authentication, security keys",45,"Open-source hardware focus, security-first"
SANS,Training/Education,Bronze,$25000,70,Johannes Ullrich,Dean,/in/johannes-ullrich,Ed Skoudis,Founder,/in/ed-skoudis,Steve Armstrong,CTO,/in/steve-armstrong-sans,"Security training integration, educational content",43,"Training and education focus"
Offensive Security,Training/Certification,Bronze,$20000,75,Muts,Founder,/in/muts-kali,Devon Kearns,Instructor,/in/devon-kearns,Jim O'Gorman,VP Training,/in/jim-ogorman,"Kali Linux integration, penetration testing training",40,"Perfect technical alignment with Kali tools"
a16z,Venture Capital,Gold,$100000,60,Marc Andreessen,Co-Founder,/in/marc-andreessen,Ben Horowitz,Co-Founder,/in/ben-horowitz,Martin Casado,GP,/in/martin-casado,"Security startup ecosystem, enterprise connections",38,"Top-tier VC, strong security portfolio"
Intel Capital,Corporate VC,Silver,$50000,65,Nick Washburn,SVP,/in/nick-washburn-intel,Lisa Lambert,MD,/in/lisa-lambert-intel,Wendell Brooks,MD,/in/wendell-brooks,"Hardware security innovation, startup ecosystem",35,"Corporate VC with security focus"
Paladin Capital,Security-focused VC,Silver,$50000,70,Ken Minihan,Managing Director,/in/ken-minihan,Tom Burgess,Partner,/in/tom-burgess-paladin,Paul Weintraub,Managing Director,/in/paul-weintraub,"Security-focused investments, government connections",32,"Security-specialized VC firm"
